company_name,website,city,state,industry,company_type,estimated_size,startup_stage,arizona_presence,software_relevance,ai_ml_relevance,robotics_relevance,entry_level_relevance,current_hiring,careers_url,relevant_open_roles,itar_status,clearance_status,recruiting_firm,company_description,why_relevant,cto_name,cto_linkedin,cto_email,engineering_lead_name,engineering_lead_linkedin,engineering_lead_email,founder_name,founder_linkedin,founder_email,general_contact_email,linkedin_company,source_urls,verification_date,confidence,outreach_status,last_contacted,follow_up_date,outreach_priority,notes
DAS Technology,https://www.dastechnology.com,Scottsdale,AZ,Automotive Customer Data Platform/AI,Private,200-500,Growth,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.dastechnology.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Largest automotive Customer Data and Experience Platform (CDP), AI-powered digital retail tech, 9,200+ retailers/OEMs.",Large-scale AI-powered SaaS platform for automotive retail.,,,,,,,,,,,https://www.linkedin.com/company/das-technology,https://www.mexc.com/news/435895 (Arizona AI startups aggregate search),2026-09-22,MEDIUM,,,,P2,Verify AZ HQ directly on company site before outreach.
Trainual,https://trainual.com,Scottsdale,AZ,SaaS (Employee Training/Playbooks),Private,50-200,Series A+,HQ,HIGH,LOW,LOW,MEDIUM,YES,https://trainual.com/careers,"Full-stack Engineer (3-6 open reqs), Tech Lead, QA Engineer",NONE_FOUND,NONE_FOUND,NO,"SaaS platform for building employee training playbooks/SOPs; founded 2018, HQ Scottsdale.",Active full-stack engineering hiring confirmed on public engineering careers page.,,,,,,,,,,,https://www.linkedin.com/company/trainual,https://trainual.com/engineers;https://trainual.com/careers,2026-09-22,HIGH,,,,P1,Careers page explicitly lists multiple full-stack engineer openings.
OneOrigin,https://www.oneorigin.us,Scottsdale,AZ,AI/Edtech (Higher Education AI Platform),Private,50-200,Growth,HQ,HIGH,HIGH,LOW,MEDIUM,YES,https://www.oneorigin.us/company/careers,"AI Platform Engineer, Forward Deployed AI Engineer, internships",NONE_FOUND,NONE_FOUND,NO,"AI-native technology company building 'the intelligence layer for education,' HQ Scottsdale.",Directly hiring for AI platform engineering and internships; strong LLM/agent fit.,,,,Lauren Chavez,https://www.linkedin.com/in/laurenechavez/,,,,,,https://www.linkedin.com/company/oneorigin,https://www.oneorigin.us/company/careers;https://www.linkedin.com/in/laurenechavez/,2026-09-22,HIGH,,,,P1,"Lauren Chavez listed as Founder and Engineering Lead on LinkedIn (name/title only, no email guessed)."
Parchment,https://www.parchment.com,Scottsdale,AZ,Edtech SaaS (Academic Credentials),Private (Instructure-owned),200-500,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.parchment.com/company/careers/,,NONE_FOUND,NONE_FOUND,NO,"Digital academic credentials (transcripts) exchange platform, HQ Scottsdale.",Established SaaS engineering org.,,,,,,,,,,,https://www.linkedin.com/company/parchment,https://www.parchment.com/company/careers/,2026-09-22,HIGH,,,,P2,Acquired by Instructure in 2023; confirm AZ engineering headcount.
Qwick,https://www.qwick.com,Phoenix,AZ,Marketplace Technology (Hospitality Gig Platform),Private,50-200,Series B+,HQ,HIGH,LOW,LOW,MEDIUM,YES,https://www.qwick.com/careers,"Senior DevOps Engineer, Senior Full-Stack Developer (per search)",NONE_FOUND,NONE_FOUND,NO,On-demand marketplace app connecting hospitality freelancers with businesses; HQ Phoenix.,"Software marketplace platform, active engineering hiring; NOTE: this is a tech marketplace, not a staffing/placement agency, so it is retained per scope rules.",,,,,,,,,,,https://www.linkedin.com/company/qwickapp,https://jobs.phxfwd.org/companies/trainual (aggregate AZ job board context); general search listing,2026-09-22,MEDIUM,,,,P2,"Borderline category (gig marketplace) - included as software company, not staffing firm, since it builds/operates the matching platform rather than placing W-2 staff itself."
RadiusAI,https://radius-ois.ai,Scottsdale,AZ,Computer Vision/AI (Retail & Critical Infrastructure Analytics),Private,11-50,Growth,HQ,HIGH,HIGH,LOW,MEDIUM,YES,https://radius-ois.ai/career/,"Software Engineer, Computer Vision Engineer, Head of Data Engineering",NONE_FOUND,NONE_FOUND,NO,"Real-time computer vision analytics for retail, healthcare, and critical infrastructure at the edge.",Direct computer vision + PyTorch/MLOps fit; 3-4 open roles confirmed via job aggregators.,,,,,,,,,,,https://www.linkedin.com/company/radius-ai,https://www.uplers.com/company/radius-ai-6350;https://www.linkedin.com/company/radius-ai,2026-09-22,HIGH,,,,P1,Strong CV/ML fit for candidate's background.
Binsr,https://www.binsr.com,Phoenix,AZ,AI Proptech (Home Inspection),Private,1-10,Seed ($1.1M),HQ,MEDIUM,HIGH,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,AI voice/video-enhanced home inspection software; raised $1.1M seed.,Early-stage AI application company; very small team so hiring likelihood is low.,,,,,,,,,,,,https://inbusinessphx.com/technology-innovation/arizona-ai-startup-raises-1-1m-to-launch-ai-home-inspection-software,2026-09-22,MEDIUM,,,,P3,Very early-stage/small; verify if any engineering headcount exists.
Solera Health,https://www.solerahealth.com,Phoenix,AZ,Healthtech Platform,Private,50-200,Growth,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.solerahealth.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Healthtech network platform connecting health plans/employers to digital & community health programs.,Healthtech SaaS platform with engineering team.,,,,,,,,,,,https://www.linkedin.com/company/solera-health,general search listing (Arizona healthtech startups),2026-09-22,MEDIUM,,,,P2,
Salucro,https://www.salucro.com,Phoenix,AZ,Healthcare Fintech (Patient Payments),Private,50-200,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.salucro.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Healthcare payments/fintech SaaS platform HQ Phoenix.,Fintech/backend engineering roles likely.,,,,,,,,,,,https://www.linkedin.com/company/salucro-healthcare-solutions,general search listing (Phoenix healthtech ecosystem),2026-09-22,MEDIUM,,,,P2,
eVisit,https://evisit.com,Mesa,AZ,Telehealth SaaS,Private,50-200,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://evisit.com/careers/,,NONE_FOUND,NONE_FOUND,NO,HIPAA-compliant virtual care/telehealth platform serving 250+ healthcare organizations.,Established healthtech SaaS engineering org.,,,,,,,,,,,https://www.linkedin.com/company/evisit,general search listing (Phoenix/Mesa healthtech),2026-09-22,MEDIUM,,,,P2,
Certemy,https://certemy.com,Mesa,AZ,Workflow Automation SaaS (Licensing/Credentialing),Private,11-50,Growth,HQ,HIGH,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Workflow automation software for professional licensing/certification boards.,"Small SaaS company, backend engineering fit possible.",,,,,,,,,,,https://www.linkedin.com/company/certemy,general search listing (Mesa tech startups),2026-09-22,LOW,,,,P3,Small team; verify engineering headcount.
Raintree Systems,https://raintreeinc.com,Phoenix,AZ,Healthtech SaaS (Therapy Practice Management),Private (PE-backed),200-500,Growth,Major office,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://raintreeinc.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Enterprise practice management/EHR platform for PT/OT/SLP/ABA providers.,Healthtech SaaS engineering roles.,,,,,,,,,,,https://www.linkedin.com/company/raintree-systems,general search listing (Arizona healthtech startups),2026-09-22,MEDIUM,,,,P2,Verify whether AZ site is HQ vs. regional office (company also has CA presence).
Virtuous Software,https://www.virtuous.org,Phoenix,AZ,Nonprofit CRM SaaS,Private,200-500,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.virtuous.org/careers/,,NONE_FOUND,NONE_FOUND,NO,"CRM/fundraising SaaS platform for nonprofits, founded 2014, HQ Phoenix.",Established B2B SaaS engineering org.,,,,,,,,,,,https://www.linkedin.com/company/virtuous-software,general search listing (Phoenix SaaS companies),2026-09-22,MEDIUM,,,,P2,
Handwrytten,https://www.handwrytten.com,Scottsdale,AZ,Robotics-enabled Marketing Tech,Private,11-50,Growth,HQ,MEDIUM,LOW,HIGH,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Sends real handwritten cards using robotic handwriting machines + software platform.,"Genuine robotics hardware+software product, small team.",,,,,,,,,,,https://www.linkedin.com/company/handwrytten,general search listing (Phoenix SaaS/robotics companies),2026-09-22,LOW,,,,P3,Small team; verify software/robotics engineering headcount directly.
SupplyHound,https://www.supplyhound.com,Phoenix,AZ,Construction Technology/Logistics,Private,11-50,Early-stage,HQ,HIGH,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Construction material order flow / on-demand delivery management platform.,"Small logistics-tech startup, backend/full-stack fit.",,,,,,,,,,,,general search listing (Phoenix SaaS companies),2026-09-22,LOW,,,,P3,Verify current operating status and team size directly.
Dovly,https://www.dovly.com,Phoenix,AZ,Fintech (Automated Credit Repair),Private,11-50,Early/Growth,HQ,MEDIUM,MEDIUM,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Automated credit-improvement platform for consumers.,Fintech automation platform.,,,,,,,,,,,,https://startupill.com/59-best-arizona-fintech-startups-the-future-of-fintech/,2026-09-22,LOW,,,,P3,Verify AZ HQ and engineering headcount directly.
Girikon,https://www.girikon.com,Phoenix,AZ,Enterprise Software Consulting (WMS/CRM),Private,200-500,Growth,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.girikon.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Salesforce/WMS/OMS consulting and custom software development firm HQ Phoenix.,Custom software dev consultancy; note per skill instructions consultancies are includable.,,,,,,,,,,,https://www.linkedin.com/company/girikon,https://www.girikon.com/products/wms-oms/,2026-09-22,MEDIUM,,,,P2,
Sciata,https://www.sciata.com,Scottsdale,AZ,Software & Analytics Consulting,Private,50-200,Growth,HQ,HIGH,MEDIUM,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Custom software & analytics consultancy with Fortune 100 clients, 400+ engagements.",Software/analytics consultancy.,,,,,,,,,,,,general search listing (Arizona data analytics companies),2026-09-22,LOW,,,,P3,Verify entry-level hiring directly.
Affinaquest,https://www.affinaquest.com,Scottsdale,AZ,Data/Analytics SaaS (Higher Ed/Athletics),Private,50-200,Growth,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.affinaquest.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Data management/analytics/CRM platform for institutional advancement and collegiate athletics.,Data engineering/analytics SaaS platform.,,,,,,,,,,,https://www.linkedin.com/company/affinaquest,general search listing (Arizona data analytics companies),2026-09-22,MEDIUM,,,,P2,
StrongMind,https://www.strongmind.com,Chandler,AZ,Edtech (Online/Blended Learning Curriculum),Private,200-500,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.strongmind.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Develops technology and curriculum for online/blended-learning K-12 schools, HQ Chandler.",Edtech software engineering org.,,,,,,,,,,,https://www.linkedin.com/company/strongmind,general search listing (Chandler technology companies),2026-09-22,MEDIUM,,,,P2,
CampusLogic (Ellucian),https://www.ellucian.com,Chandler,AZ,Edtech/Fintech SaaS (Financial Aid),Private (acquired by Ellucian),75-200,Acquired/Growth,Office (post-acquisition),HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.ellucian.com/about/careers,,NONE_FOUND,NONE_FOUND,NO,"Cloud-based financial aid SaaS for colleges/universities, acquired by Ellucian in 2022; ~75 employees at Chandler office.",Edtech/fintech engineering site.,,,,,,,,,,,https://www.linkedin.com/company/campuslogic,https://www.chandleraz.gov/business/economic-development/key-industries-and-employers/software-development,2026-09-22,MEDIUM,,,,P2,Now operates as part of Ellucian; confirm Chandler office still active for engineering.
Everspin Technologies,https://www.everspin.com,Chandler,AZ,Semiconductor (MRAM),Public,50-200,Public (small-cap),HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,https://www.everspin.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Designs/manufactures MRAM (magnetoresistive RAM) chips, HQ Chandler, NASDAQ: MRAM.",Semiconductor company with embedded/firmware software roles; entry-level SWE less central to core business.,,,,,,,,,,,https://www.linkedin.com/company/everspin-technologies,https://www.chandleraz.gov/business/economic-development/key-industries-and-employers/high-tech-manufacturing-and-development,2026-09-22,MEDIUM,,,,P3,
Thryv (Keap),https://www.keap.com,Chandler,AZ,CRM/Marketing Automation SaaS,Public (Thryv Holdings),500-1000,Public,HQ (Keap office),HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.thryv.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Small-business CRM, sales & marketing automation SaaS (formerly Infusionsoft), ~300 employees Chandler.",Established SaaS engineering org in Chandler.,,,,,,,,,,,https://www.linkedin.com/company/keap,https://www.chandleraz.gov/business/economic-development/key-industries-and-employers/information-technology-and-software,2026-09-22,MEDIUM,,,,P2,
Mastek / MST Solutions,https://www.mastek.com,Chandler,AZ,IT Consulting (Salesforce/Cloud),Public (Mastek Ltd subsidiary),100-200 (Chandler office),Public,Office,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.mastek.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Salesforce/cloud integration and marketing automation consulting, ~100 employees at Chandler office.",Cloud/consulting engineering roles.,,,,,,,,,,,https://www.linkedin.com/company/mastek,https://www.chandleraz.gov/business/economic-development/key-industries-and-employers/software-development,2026-09-22,MEDIUM,,,,P2,
Edgenuity,https://www.edgenuity.com,Scottsdale,AZ,Edtech (K-12 Online Learning),Private,500-1000,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.edgenuity.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"K-12 online curriculum and learning platform, established 1998, HQ Scottsdale.",Established edtech SaaS engineering org.,,,,,,,,,,,https://www.linkedin.com/company/edgenuity,general search listing (Arizona edtech ecosystem),2026-09-22,MEDIUM,,,,P2,
Proctorio,https://proctorio.com,Scottsdale,AZ,Edtech (Online Exam Proctoring Software),Private,50-200,Growth,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://proctorio.com/careers,,NONE_FOUND,NONE_FOUND,NO,Browser-based automated exam proctoring software using AI/computer vision monitoring.,Uses computer vision/ML for proctoring; direct skill fit.,,,,,,,,,,,https://www.linkedin.com/company/proctorio,general search listing (Arizona edtech ecosystem),2026-09-22,MEDIUM,,,,P2,
Learning A-Z,https://www.learninga-z.com,Tucson,AZ,Edtech (K-12 Literacy),Private (Cambium Learning),200-500,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.learninga-z.com/site/about/careers,,NONE_FOUND,NONE_FOUND,NO,"K-12 literacy/reading edtech platform, founded 2002, HQ Tucson.",Long-established Tucson-native edtech engineering org.,,,,,,,,,,,https://www.linkedin.com/company/learning-a-z,general search listing (Arizona edtech ecosystem),2026-09-22,MEDIUM,,,,P2,
Picmonic,https://www.picmonic.com,Phoenix,AZ,Edtech (Medical/Nursing Learning),Private,50-200,Growth,HQ,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.picmonic.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Visual mnemonic learning platform for nursing/medical students, AZ-founded edtech company.",Edtech SaaS engineering org.,,,,,,,,,,,https://www.linkedin.com/company/picmonic,general search listing (Arizona edtech ecosystem),2026-09-22,LOW,,,,P3,Verify current AZ office status directly.
SenesTech,https://www.senestech.com,Flagstaff,AZ,Biotech/Animal Fertility Control Technology,Public,11-50,Public (small-cap),HQ,LOW,LOW,LOW,LOW,UNCLEAR,https://www.senestech.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Flagstaff's first publicly traded company; humane rodent fertility-control technology.,Technology company but limited software/robotics engineering headcount expected.,,,,,,,,,,,https://www.linkedin.com/company/senestech,general search listing (Flagstaff technology companies),2026-09-22,LOW,,,,P3,Primarily biotech; software relevance limited.
